lamda	 Trans	 TransPhase	 Ref	 RefPhase
400.090010 4.635034e-01 -149.432951 0.536497 30.546801 
400.180010 5.007665e-01 -146.182495 0.499234 33.777021 
400.270010 5.451309e-01 -142.495974 0.454869 37.443315 
400.360010 5.975321e-01 -138.292502 0.402468 41.626569 
400.450010 6.585202e-01 -133.478304 0.341480 46.420558 
400.540010 7.276828e-01 -127.950970 0.272317 51.927692 
400.630010 8.027027e-01 -121.610981 0.197297 58.247490 
400.720010 8.781308e-01 -114.384908 0.121869 65.453380 
400.810010 9.444547e-01 -106.262754 0.055545 73.555362 
400.900010 9.888125e-01 -97.343088 0.011188 82.454865 
400.990010 9.987736e-01 -87.863285 0.001226 -88.085487 
401.080010 9.683936e-01 -78.181756 0.031606 -78.424104 
401.170010 9.022141e-01 -68.699550 0.097786 -68.962034 
401.260010 8.132308e-01 -59.756937 0.186769 -60.039549 
401.350010 7.165146e-01 -51.564312 0.283485 -51.867043 
401.440010 6.237748e-01 -44.194636 0.376225 -44.517476 
401.530010 5.416034e-01 -37.618436 0.458397 -37.961377 
401.620010 4.724054e-01 -31.748494 0.527595 -32.111526 
401.710010 4.160842e-01 -26.474523 0.583916 -26.857638 
401.800010 3.714111e-01 -21.683624 0.628589 -22.086811 
401.890010 3.368555e-01 -17.269663 0.663144 -17.692915 
401.980010 3.110022e-01 -13.135860 0.688998 -13.579168 
402.070010 2.927312e-01 -9.193708 0.707269 -9.657063 
402.160010 2.812843e-01 -5.360032 0.718716 -5.843424 
402.250010 2.762953e-01 -1.552927 0.723705 -2.056347 
402.340010 2.778256e-01 2.313286 0.722174 1.789845 
402.430010 2.864346e-01 6.334452 0.713565 5.791001 
402.520010 3.033098e-01 10.625109 0.696690 10.061656 
402.610010 3.304794e-01 15.330378 0.669521 14.746933 
402.700010 3.711201e-01 20.642926 0.628880 20.039497 
402.790010 4.298893e-01 26.826582 0.570111 26.203178 
402.880010 5.129028e-01 34.245285 0.487097 33.601915 
402.970010 6.259778e-01 43.382940 0.374022 42.719613 
403.060010 7.675292e-01 54.798342 0.232471 54.115067 
403.150010 9.118803e-01 68.877621 0.088120 68.174407 
403.240010 9.964569e-01 85.265254 0.003543 84.542110 
403.330010 9.624757e-01 102.416780 0.037524 -78.326286 
403.420010 8.292335e-01 118.293874 0.170766 -62.469105 
403.510010 6.697050e-01 131.706738 0.330295 -49.076145 
403.600010 5.333398e-01 142.602557 0.466660 -38.200220 
403.690010 4.324745e-01 151.478031 0.567526 -29.344632 
403.780010 3.628203e-01 158.902449 0.637180 -21.940091 
403.870010 3.171559e-01 165.352616 0.682844 -15.509792 
403.960010 2.897842e-01 171.201572 0.710216 -9.680696 
404.050010 2.772665e-01 176.750965 0.722734 -4.151153 
404.140010 2.782968e-01 -177.730134 0.721703 1.347906 
404.230010 2.936763e-01 -171.965497 0.706324 7.092710 
404.320010 3.266923e-01 -165.625562 0.673308 13.412822 
404.410010 3.840170e-01 -158.264565 0.615983 20.754003 
404.500010 4.767418e-01 -149.231130 0.523258 29.767632 
404.590010 6.184424e-01 -137.571726 0.381558 41.407238 
404.680010 8.072255e-01 -122.106859 0.192775 56.852317 
404.770010 9.725242e-01 -102.294500 0.027476 76.644895 
404.860010 9.738875e-01 -80.132259 0.026113 -81.212635 
404.950010 8.045571e-01 -59.795739 0.195443 -60.895877 
405.040010 6.070542e-01 -43.665656 0.392946 -44.785548 
405.130010 4.598021e-01 -31.391482 0.540198 -32.531118 
405.220010 3.658230e-01 -21.777536 0.634177 -22.936908 
405.310010 3.105836e-01 -13.794161 0.689416 -14.973261 
405.400010 2.827014e-01 -6.698180 0.717299 -7.896998 
405.490010 2.764207e-01 0.073714 0.723579 -1.144814 
405.580010 2.910129e-01 7.026870 0.708987 5.788641 
405.670010 3.309762e-01 14.730303 0.669024 13.472382 
405.760010 4.077581e-01 23.969878 0.592242 22.692273 
405.850010 5.414158e-01 35.962808 0.458584 34.665529 
405.940010 7.476963e-01 52.501333 0.252304 51.184387 
406.030010 9.598483e-01 75.042055 0.040152 73.705452 
406.120010 9.658976e-01 101.178964 0.034102 -80.177287 
406.210010 7.525990e-01 124.397743 0.247401 -56.978149 
406.300010 5.373249e-01 141.680899 0.462675 -39.714623 
