lamda	 Trans	 TransPhase	 Ref	 RefPhase
703.150010 7.501790e-01 15.222871 0.249821 -23.578950 
703.180010 3.400317e-01 -21.509684 0.659968 -60.313689 
703.210010 2.798011e-01 -42.932676 0.720199 -81.738866 
703.240010 4.439597e-01 -67.597942 0.556040 -106.406316 
703.270010 9.784987e-01 -118.886817 0.021501 -157.697374 
703.300010 5.597168e-01 179.940184 0.440283 -38.872557 
703.330010 2.973564e-01 151.062699 0.702644 -67.752225 
703.360010 3.019085e-01 130.289327 0.698091 -88.527780 
703.390010 5.837002e-01 100.496574 0.416300 -118.322716 
703.420010 9.623664e-01 37.999183 0.037634 -0.822290 
703.450010 4.287824e-01 -11.480882 0.571218 -50.304537 
703.480010 2.783296e-01 -35.610742 0.721670 -74.436580 
703.510010 3.481565e-01 -57.224582 0.651844 -96.052602 
703.540010 7.784848e-01 -95.246350 0.221515 -134.076552 
703.570010 7.790722e-01 -162.365777 0.220928 -21.198161 
703.600010 3.483602e-01 159.588905 0.651640 -59.245661 
703.630010 2.782895e-01 137.976605 0.721710 -80.860142 
703.660010 4.281660e-01 113.878133 0.571834 -104.960796 
703.690010 9.613370e-01 64.520553 0.038663 -154.320557 
703.720010 5.855408e-01 1.988127 0.414459 -36.855164 
703.750010 3.023736e-01 -27.853172 0.697626 -66.698643 
703.780010 2.968341e-01 -48.602245 0.703166 -87.449897 
703.810010 5.561836e-01 -77.316019 0.443816 -116.165851 
703.840010 9.810524e-01 -138.162214 0.018948 2.985773 
703.870010 4.475431e-01 170.270110 0.552457 -48.584082 
703.900010 2.802657e-01 145.518833 0.719734 -73.337539 
703.930010 3.375322e-01 124.198739 0.662468 -94.659813 
703.960010 7.393886e-01 88.008365 0.260611 -130.852367 
703.990010 8.189627e-01 21.132482 0.181037 -17.730428 
704.020010 3.609010e-01 -18.845059 0.639099 -57.710149 
704.050010 2.768589e-01 -40.779941 0.723141 -79.647210 
704.080010 4.085313e-01 -64.196159 0.591469 -103.065606 
704.110010 9.317961e-01 -110.996808 0.068204 -149.868433 
704.140010 6.223753e-01 -175.112863 0.377625 -33.986668 
704.170010 3.099891e-01 153.628232 0.690011 -65.247751 
704.200010 2.910574e-01 132.844375 0.708943 -86.033785 
704.230010 5.226782e-01 105.410742 0.477322 -113.469596 
704.260010 9.961837e-01 46.953858 0.003816 8.071342 
704.290010 4.743767e-01 -7.324045 0.525623 -46.208738 
704.320010 2.836771e-01 -32.996471 0.716323 -71.883341 
704.350010 3.253908e-01 -54.021961 0.674609 -92.911008 
704.380010 6.904587e-01 -88.055566 0.309541 -126.946790 
704.410010 8.682877e-01 -154.141568 0.131712 -13.034969 
704.440010 3.788400e-01 163.240340 0.621160 -55.655238 
704.470010 2.760732e-01 140.795483 0.723927 -78.102271 
704.500010 3.864314e-01 118.116213 0.613569 -100.783717 
704.530010 8.865518e-01 74.417721 0.113448 -144.484384 
704.560010 6.719472e-01 8.784287 0.328053 -30.119994 
704.590010 3.211108e-01 -24.459773 0.678889 -63.366230 
704.620010 2.852686e-01 -45.387041 0.714731 -84.295673 
704.650010 4.852744e-01 -71.430441 0.514726 -110.341249 
704.680010 9.988840e-01 -126.662866 0.001116 -165.575849 
704.710010 5.114433e-01 175.850297 0.488557 -43.064860 
704.740010 2.893141e-01 148.861276 0.710686 -70.056056 
704.770010 3.127013e-01 128.077803 0.687299 -90.841704 
704.800010 6.340432e-01 96.393555 0.365957 -122.528126 
704.830010 9.224405e-01 31.970343 0.077560 -6.953511 
704.860010 4.039100e-01 -14.075544 0.596090 -53.001572 
704.890010 2.766416e-01 -37.293550 0.723358 -76.221752 
704.920010 3.633426e-01 -59.248939 0.636657 -98.179314 
704.950010 8.246145e-01 -99.447138 0.175386 -138.379687 
704.980010 7.355652e-01 -166.118529 0.264435 -25.053251 
705.010010 3.370359e-01 157.935232 0.662964 -61.001664 
705.040010 2.802546e-01 136.691509 0.719745 -82.247559 
705.070010 4.462820e-01 112.051977 0.553718 -106.889264 
705.100010 9.789518e-01 60.874155 0.021048 -158.069258 
705.130010 5.615921e-01 -0.040734 0.438408 -38.986319 
705.160010 2.981913e-01 -28.876464 0.701809 -67.824222 
705.190010 3.004737e-01 -49.533344 0.699526 -88.483273 
705.220010 5.735388e-01 -78.820944 0.426461 -117.773045 
705.250010 9.714712e-01 -140.404266 0.028529 0.641462 
705.280010 4.385845e-01 169.326287 0.561415 -49.630156 
705.310010 2.794450e-01 144.966686 0.720555 -73.991929 
705.340010 3.407119e-01 123.650291 0.659288 -95.310495 
705.370010 7.485928e-01 87.144286 0.251407 -131.818670 
705.400010 8.123876e-01 20.432995 0.187612 -18.532132 
705.430010 3.596153e-01 -19.105961 0.640385 -58.073258 
705.460010 2.768940e-01 -40.923340 0.723106 -79.892807 
705.490010 4.079619e-01 -64.240026 0.592038 -103.211664 
705.520010 9.287831e-01 -110.694789 0.071217 -149.668596 
705.550010 6.281076e-01 -174.761067 0.371892 -33.737044 
705.580010 3.116987e-01 153.842387 0.688301 -65.135760 
705.610010 2.897193e-01 133.122372 0.710281 -85.857944 
705.640010 5.128032e-01 106.137261 0.487197 -112.845223 
705.670010 9.988582e-01 48.739332 0.001142 9.754678 
705.700010 4.863029e-01 -6.377464 0.513697 -45.364286 
705.730010 2.856012e-01 -32.394206 0.714399 -71.383197 
705.760010 3.198607e-01 -53.231733 0.680139 -92.222892 
705.790010 6.644516e-01 -86.086590 0.335548 -125.079917 
705.820010 8.958146e-01 -151.289455 0.104185 -10.284951 
705.850010 3.915085e-01 164.539945 0.608492 -54.457718 
705.880010 2.761861e-01 141.778727 0.723814 -77.221104 
705.910010 3.722858e-01 119.615415 0.627714 -99.386583 
705.940010 8.483699e-01 78.231790 0.151630 -140.772375 
705.970010 7.134819e-01 12.009618 0.286518 -26.996715 
706.000010 3.317905e-01 -22.899000 0.668210 -61.907499 
706.030010 2.814481e-01 -43.963259 0.718552 -82.973925 
706.060010 4.554103e-01 -68.863737 0.544590 -107.876569 
706.090010 9.853481e-01 -120.836147 0.014652 -159.851146 
706.120010 5.515594e-01 179.072728 0.448441 -39.944437 
706.150010 2.965897e-01 150.677179 0.703410 -68.342152 
706.180010 3.019461e-01 130.076936 0.698054 -88.944561 
706.210010 5.796579e-01 100.616074 0.420342 -118.407588 
706.240010 9.682994e-01 38.895359 0.031701 -0.130468 
706.270010 4.365387e-01 -10.939719 0.563461 -49.967712 
706.300010 2.793300e-01 -35.172054 0.720670 -74.202212 
706.330010 3.408019e-01 -56.433732 0.659198 -95.466055 
706.360010 7.470873e-01 -92.802204 0.252913 -131.836691 
706.390010 8.157222e-01 -159.336497 0.184278 -18.373148 
706.420010 3.612956e-01 161.029716 0.638704 -58.009101 
706.450010 2.767187e-01 139.220664 0.723281 -79.820317 
706.480010 4.040937e-01 116.087313 0.595906 -102.955832 
706.510010 9.203191e-01 70.330302 0.079681 -148.715006 
706.540010 6.392331e-01 6.048048 0.360767 -32.999423 
706.570010 3.144756e-01 -25.730246 0.685524 -64.779881 
706.600010 2.879914e-01 -46.430046 0.712009 -85.481844 
706.630010 5.008640e-01 -72.920294 0.499136 -111.974255 
706.660010 9.999988e-01 -129.128772 0.000001 11.815104 
706.690010 5.000502e-01 174.738413 0.499950 -44.319874 
706.720010 2.878799e-01 148.283053 0.712120 -70.777396 
706.750010 3.146360e-01 127.589724 0.685364 -91.472888 
706.780010 6.396113e-01 95.809782 0.360389 -123.254992 
706.810010 9.203817e-01 31.565372 0.079618 -7.501563 
706.840010 4.043913e-01 -14.168703 0.595609 -53.237800 
706.870010 2.767522e-01 -37.289636 0.723248 -76.360895 
706.900010 3.605659e-01 -59.052194 0.639434 -98.125614 
706.930010 8.125467e-01 -98.488075 0.187453 -137.563656 
706.960010 7.513241e-01 -164.957677 0.248676 -24.035419 
706.990010 3.422863e-01 158.526286 0.657714 -60.553617 
707.020010 2.789884e-01 137.266732 0.721012 -81.815331 
707.050010 4.324752e-01 113.216405 0.567525 -105.867819 
707.080010 9.627904e-01 64.017163 0.037210 -155.069221 
707.110010 5.887068e-01 1.995964 0.411293 -37.092580 
707.140010 3.040186e-01 -27.755695 0.695981 -66.846399 
707.170010 2.946122e-01 -48.306445 0.705388 -87.399309 
707.200010 5.392416e-01 -76.176408 0.460758 -115.271431 
707.230010 9.917574e-01 -135.222511 0.008243 5.680306 
707.260010 4.671943e-01 171.820329 0.532806 -47.279013 
707.290010 2.831387e-01 146.576385 0.716861 -72.525116 
707.320010 3.256778e-01 125.718427 0.674322 -93.385233 
707.350010 6.863818e-01 92.055675 0.313618 -127.050144 
707.380010 8.773913e-01 26.590703 0.122609 -12.517273 
707.410010 3.846163e-01 -16.326777 0.615384 -55.436912 
707.440010 2.760765e-01 -38.782057 0.723923 -77.894350 
707.470010 3.765111e-01 -60.985066 0.623489 -100.099517 
707.500010 8.569015e-01 -102.719218 0.143098 -141.835827 
707.530010 7.076460e-01 -168.574261 0.292354 -27.693027 
707.560010 3.310260e-01 156.874732 0.668974 -62.246191 
707.590010 2.814626e-01 135.917687 0.718537 -83.205393 
707.620010 4.539427e-01 111.158577 0.546057 -107.966661 
707.650010 9.831124e-01 59.657888 0.016888 -159.469506 
707.680010 5.579436e-01 -0.520451 0.442056 -39.650002 
707.710010 2.981854e-01 -29.061774 0.701815 -68.193481 
707.740010 2.997679e-01 -49.561467 0.700232 -88.695330 
707.770010 5.661649e-01 -78.410620 0.433835 -117.546639 
707.800010 9.785034e-01 -139.060818 0.021497 1.801006 
707.830010 4.484603e-01 170.069259 0.551540 -49.071072 
707.860010 2.808254e-01 145.514865 0.719175 -73.627621 
707.890010 3.332983e-01 124.523397 0.666702 -94.621245 
707.920010 7.159131e-01 89.640376 0.284087 -129.506421 
707.950010 8.495061e-01 23.725736 0.150494 -15.423216 
707.980010 3.740484e-01 -17.563865 0.625952 -56.714972 
708.010010 2.761094e-01 -39.661521 0.723891 -78.814782 
708.040010 3.864390e-01 -62.140109 0.613561 -101.295524 
708.070010 8.806020e-01 -105.196787 0.119398 -144.354357 
708.100010 6.843184e-01 -170.485933 0.315682 -29.645657 
708.130010 3.255095e-01 155.989661 0.674491 -63.172217 
708.160010 2.830750e-01 135.183727 0.716925 -83.980304 
