lamda, Trans, TransPhase, Ref, RefPhase
703.51001,0.3481565,-57.224582,0.651844,-96.052602
703.54001,0.7784848,-95.24635,0.221515,-134.076552
703.57001,0.7790722,-162.365777,0.220928,-21.198161
703.60001,0.3483602,159.588905,0.65164,-59.245661
703.63001,0.2782895,137.976605,0.72171,-80.860142
703.66001,0.428166,113.878133,0.571834,-104.960796
703.69001,0.961337,64.520553,0.038663,-154.320557
703.72001,0.5855408,1.988127,0.414459,-36.855164
703.75001,0.3023736,-27.853172,0.697626,-66.698643
703.78001,0.2968341,-48.602245,0.703166,-87.449897
703.81001,0.5561836,-77.316019,0.443816,-116.165851
703.84001,0.9810524,-138.162214,0.018948,2.985773
703.87001,0.4475431,170.27011,0.552457,-48.584082
703.90001,0.2802657,145.518833,0.719734,-73.337539
703.93001,0.3375322,124.198739,0.662468,-94.659813
703.96001,0.7393886,88.008365,0.260611,-130.852367
703.99001,0.8189627,21.132482,0.181037,-17.730428
704.02001,0.360901,-18.845059,0.639099,-57.710149
704.05001,0.2768589,-40.779941,0.723141,-79.64721
704.08001,0.4085313,-64.196159,0.591469,-103.065606
704.11001,0.9317961,-110.996808,0.068204,-149.868433
704.14001,0.6223753,-175.112863,0.377625,-33.986668
704.17001,0.3099891,153.628232,0.690011,-65.247751
704.20001,0.2910574,132.844375,0.708943,-86.033785
704.23001,0.5226782,105.410742,0.477322,-113.469596
704.26001,0.9961837,46.953858,0.003816,8.071342
704.29001,0.4743767,-7.324045,0.525623,-46.208738
704.32001,0.2836771,-32.996471,0.716323,-71.883341
704.35001,0.3253908,-54.021961,0.674609,-92.911008
704.38001,0.6904587,-88.055566,0.309541,-126.94679
704.41001,0.8682877,-154.141568,0.131712,-13.034969
704.44001,0.37884,163.24034,0.62116,-55.655238
704.47001,0.2760732,140.795483,0.723927,-78.102271
704.50001,0.3864314,118.116213,0.613569,-100.783717
704.53001,0.8865518,74.417721,0.113448,-144.484384
704.56001,0.6719472,8.784287,0.328053,-30.119994
704.59001,0.3211108,-24.459773,0.678889,-63.36623
704.62001,0.2852686,-45.387041,0.714731,-84.295673
704.65001,0.4852744,-71.430441,0.514726,-110.341249
704.68001,0.998884,-126.662866,0.001116,-165.575849
704.71001,0.5114433,175.850297,0.488557,-43.06486
704.74001,0.2893141,148.861276,0.710686,-70.056056
704.77001,0.3127013,128.077803,0.687299,-90.841704
704.80001,0.6340432,96.393555,0.365957,-122.528126
704.83001,0.9224405,31.970343,0.07756,-6.953511
704.86001,0.40391,-14.075544,0.59609,-53.001572
704.89001,0.2766416,-37.29355,0.723358,-76.221752
704.92001,0.3633426,-59.248939,0.636657,-98.179314
704.95001,0.8246145,-99.447138,0.175386,-138.379687
704.98001,0.7355652,-166.118529,0.264435,-25.053251
705.01001,0.3370359,157.935232,0.662964,-61.001664
705.04001,0.2802546,136.691509,0.719745,-82.247559
705.07001,0.446282,112.051977,0.553718,-106.889264
