lamda	 Trans	 TransPhase	 Ref	 RefPhase
806.000010 9.488741e-04 146.298918 0.999187 -120.030398 
807.000010 7.923953e-04 143.914833 0.999321 -122.519876 
808.000010 6.714840e-04 141.628465 0.999424 -124.913056 
809.000010 5.770348e-04 139.428370 0.999505 -127.221085 
810.000010 5.025708e-04 137.304876 0.999569 -129.453404 
811.000010 4.434210e-04 135.249729 0.999620 -131.618083 
812.000010 3.961766e-04 133.255826 0.999660 -133.722080 
813.000010 3.583248e-04 131.317003 0.999693 -135.771445 
814.000010 3.279984e-04 129.427865 0.999719 -137.771480 
815.000010 3.038037e-04 127.583655 0.999740 -139.726869 
816.000010 2.847008e-04 125.780144 0.999756 -141.641787 
817.000010 2.699192e-04 124.013539 0.999769 -143.519981 
818.000010 2.588998e-04 122.280411 0.999778 -145.364851 
819.000010 2.512560e-04 120.577628 0.999785 -147.179507 
820.000010 2.467482e-04 118.902299 0.999789 -148.966827 
821.000010 2.452711e-04 117.251721 0.999790 -150.729512 
822.000010 2.468520e-04 115.623333 0.999788 -152.470134 
823.000010 2.516608e-04 114.014660 0.999784 -154.191186 
824.000010 2.600343e-04 112.423261 0.999777 -155.895139 
825.000010 2.725201e-04 110.846668 0.999766 -157.584511 
826.000010 2.899491e-04 109.282303 0.999751 -159.261946 
827.000010 3.135541e-04 107.727375 0.999731 -160.930330 
828.000010 3.451640e-04 106.178735 0.999704 -162.592944 
829.000010 3.875299e-04 104.632651 0.999668 -164.253701 
830.000010 4.448949e-04 103.084470 0.999619 -165.917517 
831.000010 5.240302e-04 101.528055 0.999551 -167.590910 
832.000010 6.362344e-04 99.954805 0.999455 -169.283057 
833.000010 8.014634e-04 98.351853 0.999313 -171.007736 
834.000010 1.057640e-03 96.698462 0.999093 -172.787205 
835.000010 1.484150e-03 94.958117 0.998728 -174.660720 
836.000010 2.270867e-03 93.058806 0.998054 -176.705783 
837.000010 3.970504e-03 90.834025 0.996597 -179.101712 
838.000010 8.806929e-03 87.788372 0.992451 177.617643 
839.000010 3.427425e-02 81.492878 0.970622 170.831078 
840.000010 1.159763e+00 -0.003297 0.005917 -0.045984 
841.000010 3.443127e-02 -81.466718 0.970487 -170.802852 
842.000010 8.889553e-03 -87.751691 0.992380 -177.578125 
843.000010 4.026106e-03 -90.780760 0.996549 179.159080 
844.000010 2.312683e-03 -92.982381 0.998018 176.788081 
845.000010 1.517612e-03 -94.851822 0.998699 174.775162 
846.000010 1.085482e-03 -96.555473 0.999070 172.941119 
847.000010 8.252427e-04 -98.165219 0.999293 171.208577 
848.000010 6.569120e-04 -99.717424 0.999437 169.538430 
849.000010 5.422299e-04 -101.232645 0.999535 167.908598 
850.000010 4.610335e-04 -102.723544 0.999605 166.305507 
851.000010 4.018862e-04 -104.198483 0.999656 164.720219 
852.000010 3.579185e-04 -105.663326 0.999693 163.146486 
853.000010 3.248118e-04 -107.122412 0.999722 161.579704 
854.000010 2.997514e-04 -108.579117 0.999743 160.016313 
855.000010 2.808510e-04 -110.036187 0.999759 158.453433 
856.000010 2.668210e-04 -111.495952 0.999771 156.888633 
857.000010 2.567701e-04 -112.960472 0.999780 155.319784 
858.000010 2.500828e-04 -114.431625 0.999786 153.744954 
859.000010 2.463421e-04 -115.911180 0.999789 152.162334 
860.000010 2.452804e-04 -117.400851 0.999790 150.570184 
861.000010 2.467482e-04 -118.902330 0.999789 148.966793 
862.000010 2.506956e-04 -120.417329 0.999785 147.350440 
863.000010 2.571614e-04 -121.947600 0.999780 145.719368 
864.000010 2.662709e-04 -123.494968 0.999772 144.071757 
865.000010 2.782373e-04 -125.061352 0.999762 142.405695 
866.000010 2.933711e-04 -126.648794 0.999749 140.719155 
867.000010 3.120935e-04 -128.259485 0.999732 139.009968 
868.000010 3.349580e-04 -129.895797 0.999713 137.275793 
869.000010 3.626800e-04 -131.560311 0.999689 135.514080 
870.000010 3.961774e-04 -133.255863 0.999660 133.722042 
871.000010 4.366261e-04 -134.985582 0.999626 131.896601 
872.000010 4.855345e-04 -136.752947 0.999584 130.034348 
873.000010 5.448456e-04 -138.561846 0.999533 128.131473 
874.000010 6.170762e-04 -140.416654 0.999471 126.183701 
875.000010 7.055093e-04 -142.322323 0.999395 124.186199 
876.000010 8.144611e-04 -144.284492 0.999302 122.133471 
877.000010 9.496576e-04 -146.309631 0.999186 120.019226 
878.000010 1.118770e-03 -148.405208 0.999041 117.836212 
879.000010 1.332183e-03 -150.579915 0.998858 115.576007 
880.000010 1.604121e-03 -152.843939 0.998625 113.228759 
881.000010 1.954305e-03 -155.209328 0.998325 110.782839 
882.000010 2.410450e-03 -157.690458 0.997934 108.224402 
883.000010 3.012066e-03 -160.304655 0.997418 105.536800 
884.000010 3.816362e-03 -163.073021 0.996729 102.699806 
885.000010 4.907574e-03 -166.021566 0.995794 99.688553 
886.000010 6.412013e-03 -169.182760 0.994504 96.472079 
887.000010 8.522820e-03 -172.597712 0.992695 93.011302 
888.000010 1.154161e-02 -176.319272 0.990107 89.256136 
889.000010 1.595009e-02 179.583488 0.986328 85.141349 
890.000010 2.253586e-02 175.018697 0.980684 80.580508 
891.000010 3.261744e-02 169.861957 0.972042 75.457116 
892.000010 4.845108e-02 163.941977 0.958470 69.611670 
893.000010 7.395943e-02 157.019965 0.936606 62.823540 
894.000010 1.159658e-01 148.762731 0.900601 54.788608 
895.000010 1.859162e-01 138.717720 0.840643 45.103021 
896.000010 3.006934e-01 126.326338 0.742263 33.294499 
897.000010 4.765662e-01 111.078521 0.591515 19.017100 
898.000010 7.058546e-01 92.957832 0.394982 2.595963 
899.000010 9.309892e-01 73.008356 0.202009 -14.124807 
900.000010 1.080849e+00 53.115070 0.073558 -27.083561 
901.000010 1.144175e+00 34.745159 0.019279 -28.175188 
902.000010 1.158982e+00 18.214659 0.006587 -7.584417 
903.000010 1.159782e+00 3.080836 0.005901 2.322980 
904.000010 1.159821e+00 -11.270657 0.005868 -21.270421 
905.000010 1.156221e+00 -25.318452 0.008954 -68.024008 
906.000010 1.137998e+00 -39.293886 0.024573 -106.974555 
907.000010 1.093996e+00 -53.160798 0.062289 -132.511587 
908.000010 1.020389e+00 -66.672268 0.125381 -151.737296 
909.000010 9.238108e-01 -79.499129 0.208162 -167.738307 
910.000010 8.175124e-01 -91.371877 0.299275 178.435239 
911.000010 7.144207e-01 -102.160663 0.387639 166.347974 
912.000010 6.228289e-01 -111.873656 0.466147 155.720635 
913.000010 5.460794e-01 -120.610415 0.531932 146.311031 
914.000010 4.842230e-01 -128.512085 0.584952 137.897304 
915.000010 4.357459e-01 -135.727355 0.626504 130.282420 
916.000010 3.986872e-01 -142.394936 0.658268 123.297404 
917.000010 3.711943e-01 -148.637113 0.681833 116.800415 
918.000010 3.517351e-01 -154.559178 0.698513 110.673272 
919.000010 3.391413e-01 -160.251432 0.709307 104.817135 
920.000010 3.325851e-01 -165.792018 0.714927 99.148326 
921.000010 3.315365e-01 -171.249753 0.715826 93.594669 
922.000010 3.357211e-01 -176.686669 0.712239 88.092483 
923.000010 3.450858e-01 177.839863 0.704212 82.584194 
924.000010 3.597703e-01 172.275427 0.691625 77.016529 
925.000010 3.800809e-01 166.567303 0.674216 71.339297 
926.000010 4.064600e-01 160.663692 0.651606 65.504784 
